,21.99,21.91,21.83,21.75,21.67,21.59,21.51,21.43,21.34,21.26,21.18,21.1,21.02,20.94,20.86,20.78,20.7,20.62,20.54,20.46,20.38,20.3,20.22,20.14,20.06,19.98,19.9,19.82,19.74,19.66,19.58,19.5,19.42,19.34,19.26,19.18,19.1,19.02,18.94,18.86,18.79,18.71,18.63,18.55,18.47,18.39,18.31,18.23,18.16,18.08,18,17.92,17.84,17.76,17.68,17.61,17.53,17.45,17.37,17.29,17.22,17.14,17.06,16.98,16.91,16.83,16.75,16.67,16.6,16.52,16.44,16.36,16.29,16.21,16.13,16.05,15.98,15.9,15.82,15.75,15.67,15.59,15.51,15.44,15.36,15.28,15.21,15.13,15.05,14.98,14.9,14.82,14.75,14.67,14.6,14.52,14.44,14.37,14.29,14.21,14.14,14.06,13.99,13.91,13.83,13.76,13.68,13.61,13.53,13.46,13.38,13.3,13.23,13.15,13.08,13,12.93,12.85,12.78,12.7,12.62,12.55,12.47,12.4,12.32,12.25,12.17,12.1,12.02,11.95,11.87,11.8,11.72,11.65,11.57,11.5,11.42,11.35,11.27,11.2,11.12,11.05,10.97,10.9,10.83,10.75,10.68,10.6,10.53,10.45,10.38,10.3,10.23,10.16,10.08,10.01,9.93,9.86,9.78,9.71,9.64,9.56,9.49,9.41,9.34,9.27,9.19,9.12,9.04,8.97,8.9,8.82,8.75,8.67,8.6,8.53,8.45,8.38,8.31,8.23,8.16,8.08,8.01
82,294.468,289.304,289.954,285.334,281.796,283.73,278.267,272.901,267.741,267.999,268.998,268.752,267.086,266.683,267.482,268.253,270.07,268.752,265.993,264.696,265.426,268.377,268.126,269.119,271.313,273.412,277.015,281.655,283.67,282.886,282.55,287.402,291.665,294.019,296.013,295.351,296.54,294.554,296.612,294.703,294.735,296.686,299.449,301.35,300.54,300.485,297.904,292.108,295.27,293.559,292.567,293.974,296.686,289.381,281.844,281.157,281.366,275.146,272.804,272.493,276.92,279.531,281.161,279.53,277.86,277.694,280.285,280.722,277.526,275.24,271.748,267.999,268.379,265.853,265.569,264.547,262.009,260.434,260.973,261.669,260.436,260.253,262.009,262.835,262.009,262.343,262.996,262.672,262.835,262.835,262.835,263.941,264.696,265.426,264.696,263.94,265.852,269.835,268.25,270.641,276.052,279.298,280.727,283.34,280.191,271.529,269.716,274.488,279.295,283.666,285.871,285.039,284.231,290.539,292.608,291.342,289.189,283.669,285.93,289.738,295.376,295.433,294.507,297.779,297.742,297.995,305.731,307.558,306.88,306.227,305.607,304.497,304.043,303.788,299.353,298.919,298.228,294.023,291.939,289.506,292.346,294.262,297.057,294.913,296.941,292.114,289.956,290.001,292.61,291.668,292.121,293.936,296.204,298.023,294.298,285.151,279.759,284.602,289.452,284.861,284.609,285.983,296.575,298.784,300.007,299.715,296.318,277.102,283.171,299.663,304.238,303.021,307.833,308.105,308.082,307.489,307.902,308.059,307.348,306.37,306.466,306.507,300.973
82.07,293.252,287.994,292.338,287.227,282.074,282.338,275.605,272.068,268.126,270.069,271.092,269.36,267.086,266.547,266.818,266.952,268.503,266.951,263.629,262.343,264.246,266.272,267.482,269.835,271.424,272.596,275.968,280.431,283.599,281.795,279.987,282.477,285.874,288.31,294.219,293.898,295.857,295.743,296.355,295.119,294.207,296.869,298.682,299.973,299.32,298.68,299.387,293.33,293.937,293.689,291.94,295.193,296.615,295.379,280.845,276.317,274.391,271.748,273.414,272.493,276.056,280.359,279.531,277.527,277.274,276.324,277.606,275.696,274.867,274.489,270.527,267.871,267.086,265.137,263.157,262.508,261.669,259.315,260.253,261.497,260.973,261.324,262.509,262.672,262.176,262.835,262.344,262.509,261.497,262.997,263.63,263.63,262.343,263.94,263.473,262.509,263.474,264.991,264.093,267.871,272.589,279.449,285.16,287.181,286.762,271.957,270.756,272.596,277.688,285.923,290.527,283.669,284.736,290.779,291.714,290.587,286.563,283.796,288.58,294.253,299.317,298.966,296.352,298.883,300.163,300.676,306.422,307.304,307.327,306.759,305.014,302.645,302.851,301.739,299.121,299.115,295.231,291.57,288.211,290.967,293.899,295.588,297.458,296.466,293.563,292.031,290.2,288.11,290.388,294.269,292.6,296.839,297.486,294.186,290.714,280.793,279.834,286.393,289.954,286.684,283.328,278.478,296.715,301.472,299.649,297.955,294.345,281.147,286.617,288.366,290.623,294.589,304.906,308.66,308.483,307.833,308.012,306.031,305.607,305.556,305.83,303.226,297.133
82.15,283.767,291.063,290.342,285.868,281.445,281.932,277.775,274.861,271.422,273.71,273.611,270.643,268.504,267.351,266.683,265.854,265.137,264.093,262.672,262.508,264.245,265.138,266.546,268.251,269.481,272.699,276.412,278.985,283.21,283.541,281.656,282.482,285.876,286.168,290.908,292.155,295.109,296.913,297.242,296.242,296.127,297.67,297.708,296.982,298.543,299.351,297.088,294.062,294.272,293.941,295.389,294.393,295.274,296.539,286.166,274.39,270.982,270.069,272.906,274.489,278.669,280.062,277.607,275.334,276.059,272.905,272.28,271.422,271.64,272.387,270.301,268.379,265.282,263.94,263.786,263.474,263.157,260.432,258.734,261.669,260.616,260.616,262.009,262.508,262.997,262.343,261.84,261.497,262.344,262.997,264.094,263.63,262.343,262.508,261.84,262.176,262.177,263.316,264.843,267.742,271.955,279.139,285.453,289.995,284.599,278.347,272.802,272.283,275.515,281.829,289.743,284.114,284.669,290.201,289.052,287.735,285.344,285.035,290.898,298.59,302.735,301.63,295.615,300.422,301.072,303.629,306.904,306.879,306.761,306.297,303.242,300.671,301.712,299.873,295.999,290.15,288.751,288.738,287.116,291.005,295.435,297.09,298.151,292.636,294.12,288.681,283.965,284.42,290.726,295.82,298.301,298.336,296.23,295.198,291.135,279.372,278.985,282.745,287.501,286.904,281.928,284.784,298.218,299.343,298.074,298.05,290.132,273.096,281.446,285.448,293.776,302.248,304.282,309.092,308.329,308.571,307.039,303.405,299.774,303.239,305.582,303.276,296.864
82.21,284.403,289.853,286.907,284.109,282.414,283.988,282.004,282.064,275.608,275.056,272.698,269.952,268.253,265.711,265.137,264.844,261.839,262.176,261.497,261.324,262.508,261.668,264.093,265.137,265.712,270.973,277.933,282.34,284.859,285.102,285.101,284.8,284.242,284.799,287.57,287.842,291.013,295.933,296.391,295.706,295.158,297.491,299.219,298.636,298.164,300.26,295.887,293.52,293.731,293.262,295.546,293.77,295.236,296.127,285.152,275.331,271.856,272.8,275.497,284.133,282.947,278.828,277.523,275.969,274.962,269.715,267.998,268.628,268.252,269.24,268.629,268.253,266.134,262.995,261.497,263.316,262.009,258.928,260.436,260.973,260.795,261.497,261.669,262.672,262.672,261.324,262.177,262.176,262.176,262.672,265.137,263.472,261.497,261.323,261.497,261.84,261.149,263.786,265.426,265.994,271.629,279.982,284.61,286.891,282.55,278.748,273.512,271.533,274.393,278.18,283.462,283.406,283.919,287.562,284.605,285.397,287.725,290.44,293.179,302.559,304.967,301.479,294.942,299.941,301.648,303.769,306.494,307.092,306.713,306.128,303.737,300.64,301.436,297.313,293.841,286.453,287.838,291.246,293.42,288.924,296.729,298.305,297.313,295.338,288.637,285.582,283.017,285.87,291.754,296.687,299.813,298.4,293.897,294.429,288.415,283.476,284.981,283.411,280.283,274.766,275.177,290.724,296.241,296.392,297.421,294.604,280.123,278.138,289.793,293.872,303.323,305.252,306.098,308.769,308.572,308.899,306.941,303.326,303.274,303.301,304.118,302.558,299.878
82.29,282.985,288.595,276.305,283.082,283.148,285.22,281.442,283.274,276.234,273.312,270.98,268.253,268.126,265.853,263.316,262.672,259.884,261.324,262.509,261.324,259.696,259.883,262.835,264.844,265.427,269.358,274.679,278.022,282.749,285.637,286.683,284.24,284.922,286.797,285.041,284.922,287.569,293.127,293.178,295.118,293.771,293.978,295.731,297.649,298.707,298.125,294.835,289.75,290.442,291.576,293.561,294.556,295.854,291.336,283.378,279.758,275.607,278.263,285.336,286.998,277.857,274.1,272.175,271.31,271.637,267.482,267.219,265.712,265.137,266.134,266.682,266.409,264.246,262.343,261.839,261.669,261.324,259.506,260.796,261.149,261.497,261.839,261.669,262.344,262.009,262.009,262.835,262.673,261.84,262.009,261.84,261.324,260.973,260.435,260.973,261.497,261.149,264.844,266.547,264.547,271.94,283.147,284.677,285.402,284.96,274.953,268.251,268.379,272.386,272.802,273.406,278.82,284.05,283.794,281.372,285.033,293.473,296.769,302.498,304.496,303.271,298.864,292.589,299.611,302.88,303.106,304.015,305.069,306.055,305.556,304.629,302.903,301.372,296.318,294.018,288.678,285.066,293.772,292.866,291.126,298.163,297.241,298.369,299.471,292.339,286.681,285.399,288.321,291.056,295.586,297.56,295.222,296.012,292.855,283.989,283.082,284.484,280.21,277.103,271.855,276.309,293.978,298.023,296.944,297.563,294.059,281.075,286.729,289.934,297.519,299.424,299.597,303.645,307.878,308.878,308.101,304.779,301.443,301.412,299.646,297.829,299.049,299.221
82.36,288.159,285.167,273.196,279.833,282.75,278.096,275.603,277.76,273.309,269.716,268.126,267.741,266.41,264.396,262.834,260.435,259.697,260.068,261.149,260.973,261.669,261.84,263.157,264.245,264.844,269.237,273.711,274.101,277.608,282.474,287.734,284.049,281.517,286.454,285.935,285.043,286.852,291.709,293.35,295.194,292.778,291.437,290.197,293.6,297.937,293.112,295.27,289.89,287.346,290.631,292.91,293.474,296.943,292.911,289.44,282.883,280.847,278.589,285.042,283.016,278.175,272.492,268.504,265.711,265.993,267.739,268.875,265.137,263.786,264.246,266.41,266.818,264.245,262.672,262.508,261.497,260.435,260.252,260.795,261.669,261.149,261.324,261.324,262.008,262.343,261.84,263.315,262.177,262.672,262.508,262.176,261.84,260.973,260.795,261.324,261.669,261.149,262.175,263.785,263.316,268.979,279.805,286.683,285.162,281.862,275.51,267.611,268.503,269.119,268.253,268.378,274.198,279.757,280.576,277.527,283.133,293.507,300.094,304.523,304.966,301.972,297.916,297.112,301.015,302.536,303.048,302.356,303.935,304.654,304.629,304.043,304.285,302.077,295,294.638,292.599,287.171,293.983,294.757,292.826,295.818,295.927,299.748,297.845,294.476,292.512,287.892,292.381,296.242,295.898,293.219,292.474,294.59,289.649,282.752,283.539,285.092,276.756,274.585,274.001,279.296,294.636,297.305,293.434,292.737,288.339,276.185,284.519,280.859,288.513,293.206,293.647,303.15,307.582,308.172,307.695,304.568,300.421,299.314,302.507,301.591,298.095,297.812
82.43,282.549,283.989,281.716,277.274,281.585,281.91,270.642,269.834,269.239,268.379,269.6,268.997,266.952,265.57,262.508,261.148,259.317,260.795,261.324,261.669,262.176,262.996,262.997,263.157,263.786,268.122,271.093,270.644,275.332,281.79,287.736,286.676,281.726,284.847,288.943,287.067,286.683,289.801,291.012,292.874,292.874,292.435,291.436,290.005,292.785,293.393,291.529,288.998,288.732,289.407,290.202,292.558,296.578,295.393,291.558,284.857,281.161,282.065,284.922,281.651,276.498,273.211,267.218,263.786,263.786,264.093,264.093,263.786,263.157,262.997,265.853,265.853,263.314,262.176,261.324,260.616,260.973,260.069,260.973,260.795,259.317,261.324,261.149,261.149,262.343,262.177,262.343,262.996,263.157,262.176,262.835,263.474,262.343,262.509,261.497,261.497,260.616,261.497,261.669,262.672,268.852,278.745,281.935,284.922,284.674,278.583,269.599,266.41,266.134,265.854,267.998,272.8,276.058,275.146,275.241,281.847,292.992,300.186,304.682,303.765,299.661,294.549,298.714,301.077,301.411,302.734,301.591,303.413,304.522,304.915,303.467,303.413,301.195,293.043,295.74,294.328,292.641,292.656,292.108,289.798,293.889,298.676,299.008,298.229,296.203,294.911,291.334,295.471,296.464,296.088,293.091,292.346,291.528,289.198,284.552,285.093,278.011,277.441,280.276,284.034,289.115,295.706,295.275,295.509,293.928,285.322,275.854,283.959,286.964,285.812,290.799,299.146,304.965,307.091,306.314,305.55,300.867,294.178,297.042,302.708,301.166,299.05,295.975
82.51,281.484,289.434,287.622,284.345,278.987,276.227,269.359,266.683,266.272,267.869,269.481,268.752,267.612,265.136,262.175,261.324,262.176,262.009,263.157,262.343,262.177,263.157,263.316,263.316,263.786,266.132,268.252,270.869,276.412,280.205,287.722,291.545,281.86,283.41,285.875,289.001,289.457,289.548,287.517,287.778,290.629,289.499,289.704,288.845,292.999,291.003,288.998,288.271,289.756,290.104,289.357,290.957,295.745,294.831,289.346,287.725,283.307,287.569,284.799,281.088,278.023,275.148,271.961,268.373,266.27,262.343,262.343,262.508,262.344,262.835,263.786,263.63,260.973,261.497,259.696,258.135,259.696,260.435,260.796,261.324,260.435,261.669,261.324,261.669,262.177,261.497,262.176,263.157,263.94,262.835,263.63,262.342,260.436,261.669,262.343,262.009,261.84,262.343,262.177,261.669,269.452,281.721,285.935,286.569,282.884,280.047,268.995,264.99,264.094,265.57,266.817,270.757,272.069,271.204,272.803,280.341,292.018,299.605,304.232,302.28,294.731,292.727,298.849,301.531,300.45,301.831,302.274,303.466,305.175,304.63,304.039,301.622,298.857,291.572,294.995,298.235,295.927,288.838,282.951,286.031,293.52,295.079,296.159,298.75,297.562,294.352,291.478,289.861,297.911,293.049,291.437,291.753,286.682,286.963,285.283,285.341,289.15,289.039,285.751,292.168,293.046,294.759,293.263,292.164,289.447,281.292,276.844,280.501,278.43,284.293,294.896,302.707,305.276,305.515,301.062,303.462,300.039,300.323,301.349,302.965,301.1,297.055,293.813
82.59,297.728,294.394,293.68,287.558,279.138,273.707,268.503,267.351,265.569,266.133,268.875,267.999,267.742,267.219,264.093,262.509,262.176,262.009,263.316,262.835,263.316,264.246,263.63,262.835,262.673,264.245,267.351,270.415,275.698,279.062,284.913,288.242,280.203,283.925,285.344,286.621,289.356,290.489,291.619,286.39,284.798,287.24,293.2,287.285,291.985,291.663,291.245,291.193,289.604,289.755,291.29,292.121,292.604,295.356,294.542,288.155,288.057,286.333,284.798,282.886,282.411,278.905,275.969,274.297,270.755,264.395,262.996,263.157,262.508,263.157,262.835,261.497,261.669,261.839,261.323,260.253,258.135,258.135,260.436,261.324,262.009,262.997,261.497,260.973,261.84,262.176,263.63,263.786,264.246,264.246,262.672,260.435,258.931,258.734,261.149,262.343,262.009,261.497,261.497,262.509,268.603,279.602,283.279,283.073,283.212,284.268,268.248,265.854,264.093,265.138,266.271,268.752,268.504,269.36,270.53,279.198,291.781,300.162,302.5,296.243,284.14,295.447,301.592,300.828,300.355,302.558,303.879,303.13,304.891,303.959,301.847,296.963,290.502,287.942,292.07,295.35,293.378,287.668,282.481,286.843,291.982,294.31,296.422,297.629,294.081,288.636,291.661,295.932,296.942,293.174,289.507,289.341,281.373,283.017,285.461,288.736,290.684,290.968,289.103,291.061,293.897,294.476,293.256,290.101,288.272,271.423,272.906,277.69,281.226,284.005,295.463,301.009,304.284,304.967,304.471,304.094,302.934,303.19,303.825,303.518,300.155,296.087,294.023
82.65,299.213,294.677,292.248,286.47,273.002,267.736,263.786,265.852,266.818,265.854,267.086,268.126,268.253,265.994,264.844,263.63,264.093,263.63,263.315,264.093,264.696,264.547,264.094,263.63,262.996,264.696,265.713,269.48,274.488,277.188,282.139,284.233,282.817,286.564,286.567,285.524,285.874,288.793,290.149,288.585,283.725,284.738,289.851,287.62,291.297,292.244,294.352,292.165,290.096,285.283,287.231,292.875,291.757,293.975,294.79,290.246,286.109,284.551,285.164,284.799,284.484,280.651,277.105,275.698,270.528,264.695,262.672,262.344,262.343,262.508,261.323,260.253,260.254,259.507,260.435,260.07,259.697,258.536,259.124,260.07,259.884,259.316,260.973,261.669,261.84,262.508,264.397,264.696,265.426,263.315,260.972,260.069,259.884,259.316,262.176,262.343,260.796,261.323,262.009,263.316,268.974,279.677,282.478,281.796,285.581,283.447,267.608,265.282,264.696,265.283,264.546,266.133,265.568,265.712,270.638,281.777,292.277,300.135,300.01,288.975,285.337,298.947,302.361,300.703,299.871,303.329,303.323,301.397,304.497,303.012,297.864,291.057,288.373,289.803,293.519,294.352,291.576,290.86,285.639,289.555,291.896,291.483,293.215,295.627,294.021,295.46,292.024,295.356,294.639,292.998,288.11,288.793,285.696,284.304,286.278,288.944,286.274,289.709,289.855,293.644,296.542,295.22,288.688,290.19,281.699,270.297,273.709,280.056,285.759,289.048,292.604,298.598,303.523,302.362,303.383,304.915,303.219,303.078,303.302,304.096,301.919,297.914,295.668
82.73,292.011,282.064,281.368,274.951,268.499,264.246,262.835,265.992,268.253,265.569,265.993,269.24,269.48,267.217,266.272,265.854,264.397,264.547,264.246,265.138,266.133,265.854,265.57,265.427,264.093,265.138,264.991,267.612,272.699,276.673,281.303,282.55,283.144,287.627,288.532,286.681,287.407,288.479,289.407,290.684,288.52,286.339,287.565,289.707,289.458,289.095,287.571,286.338,284.67,287.512,288.322,290.725,294.394,294.715,293.048,291.614,288.829,284.554,282.551,281.374,281.017,280.211,279.529,274.295,267.995,263.63,262.176,262.009,262.344,262.509,260.616,260.069,260.796,260.436,259.697,260.436,259.124,259.123,259.124,260.616,260.616,260.253,260.795,261.839,261.84,261.324,263.156,264.696,264.991,262.996,262.176,260.617,259.884,260.616,261.324,261.839,261.669,263.157,262.509,264.093,270.16,278.904,282.208,285.874,283.911,278.337,266.814,264.547,264.246,263.786,264.093,264.844,264.246,264.844,272.167,284.525,294.751,299.747,297.612,283.652,291.822,299.45,301.469,299.287,299.78,300.421,300.953,300.763,303.355,303.306,294.662,287.727,290.588,290.003,291.794,291.055,290.39,292.192,285.991,287.127,286.039,292.114,293.899,294.428,297.128,298.678,295.355,292.831,289.799,284.79,283.586,289.751,283.854,283.465,289.757,288.878,281.563,288.004,290.099,294.715,297.6,294.744,289.658,287.731,282.123,272.694,275.237,282.141,285.162,290.345,290.535,295.259,300.765,299.674,297.377,300.239,300.972,301.622,301.8,302.849,300.217,297.196,293.383
82.8,285.588,271.626,273.104,269.115,264.395,261.669,263.156,264.093,265.852,264.397,264.546,266.546,268.126,268.126,266.41,265.282,264.547,264.991,265.57,265.57,264.991,264.844,265.138,264.696,263.786,264.093,265.712,268.125,272.595,275.333,280.136,283.474,287.014,287.679,289.102,288.271,287.573,287.409,289.205,290.202,292.961,292.416,289.14,289.954,289.857,291.157,288.373,285.402,284.048,287.518,288.893,292.697,294.999,296.654,296.04,291.76,290.242,284.552,283.148,278.985,277.443,277.777,277.02,274.584,268.873,262.672,261.149,261.497,262.508,261.669,259.883,257.307,258.93,260.07,259.883,259.316,260.069,259.884,262.008,262.009,260.616,261.149,260.973,261.324,261.149,261.149,262.009,263.786,263.941,263.474,262.176,260.069,259.508,259.694,260.616,262.009,261.669,262.176,262.177,264.093,270.626,277.61,281.442,286.282,286.043,279.822,266.813,262.835,262.341,262.343,263.315,264.696,263.316,266.27,275.135,286.02,295.433,297.016,292.266,285.919,294.015,299.386,299.901,297.274,299.716,299.813,299.683,301.167,303.048,302.678,293.64,287.68,288.585,287.132,287.241,286.956,291.344,289.405,286.456,285.759,283.797,287.943,294.131,299.618,299.186,296.979,292.648,287.626,286.4,286.797,288.057,289.354,285.994,284.733,284.799,284.171,282.073,285.28,286.957,292.609,294.834,290.347,289.606,286.683,283.143,275.787,275.148,283.206,288.05,284.48,290.82,296.612,300.008,299.618,299.781,299.91,299.519,299.221,300.422,300.727,295.156,292.517,289.246
82.87,271.519,264.397,265.426,264.844,262.672,260.973,261.324,262.009,260.435,259.696,260.254,263.157,265.138,266.683,266.953,265.138,264.093,264.397,264.246,262.672,262.835,262.176,262.508,262.672,262.673,263.786,264.397,267.998,273.412,277.685,284.534,289.655,288.375,287.843,288.481,289.608,289.307,289.205,288.688,289.701,291.985,293.604,291.344,290.153,290.299,290.777,288.689,285.99,284.673,283.21,287.78,287.406,291.104,295.815,297.566,296.795,290.039,283.539,283.914,277.694,277.02,276.762,275.334,271.312,267.48,262.834,260.068,262.176,261.84,260.069,260.253,260.069,261.669,261.324,260.436,260.253,259.696,260.973,260.068,261.149,259.883,259.697,261.497,261.148,262.009,261.496,261.148,261.497,261.84,260.972,262.009,262.997,261.323,260.068,261.496,262.176,262.508,262.997,262.009,263.473,270.847,280.507,281.514,287.889,289.492,279.127,267.48,264.246,260.796,261.669,262.672,262.508,262.009,267.214,278.337,287.295,290.336,290.034,284.676,288.838,294.714,298.439,296.689,296.162,299.486,300.485,300.324,298.675,301.045,299.236,293.349,291.707,289.501,284.675,285.339,290.194,292.52,289.804,289.146,286.161,284.736,291.747,298.439,300.448,296.896,292.515,288.477,288.586,290.295,291.233,285.282,287.455,288.293,282.476,280.718,281.083,281.646,280.36,287.346,293.002,293.974,287.858,279.343,281.364,278.647,273.709,274.006,282.203,286.904,286.34,289.952,294.794,298.024,296.909,298.75,298.85,299.518,299.054,299.287,299.144,293.087,287.496,282.193
82.95,263.785,262.997,262.672,263.315,261.323,259.316,260.436,261.149,261.84,261.149,261.497,261.324,262.343,263.94,264.547,263.631,263.941,263.94,262.672,262.835,263.474,261.669,261.149,261.669,262.997,263.316,264.093,269.83,275.241,279.524,285.578,285.404,286.223,287.517,287.073,288.741,290.051,290.92,289.508,288.111,292.999,294.313,290.537,289.306,291.157,287.732,285.87,285.93,286.214,284.237,285.103,287.897,290.587,293.301,295.151,293.074,290.434,283.541,281.586,279.53,277.604,274.868,273.711,267.479,264.546,261.324,259.884,262.343,262.509,261.839,260.973,259.125,260.795,261.149,260.973,259.507,259.697,260.253,259.696,259.508,259.883,260.253,260.07,259.508,260.253,259.884,259.507,262.009,261.497,260.253,261.669,260.795,261.323,261.497,262.177,260.972,262.343,261.669,261.84,263.94,272.033,282.612,283.537,287.891,288.549,272.901,265.282,263.94,261.497,262.672,262.508,261.149,262.009,267.865,279.973,287.077,286.398,284.545,284.037,290.583,293.687,294.251,293.087,295.036,297.984,298.851,298.88,297.164,299.551,297.015,293.22,293.473,289.299,284.613,288.106,292.435,291.707,287.998,290.221,283.523,288.48,288.414,295.271,296.267,289.657,286.456,287.562,291.844,289.099,291.805,291.754,292.828,286.931,274.096,273.808,276.058,277.444,281.841,292.155,296.278,291.99,275.136,268.996,270.527,268.995,268.502,271.091,279.286,287.785,288.268,291.391,293.932,297.847,296.65,299.083,296.801,298.546,298.614,298.499,292.381,286.11,282.483,283.858
83.1,263.315,261.84,262.177,262.509,260.069,259.508,261.497,261.149,261.497,260.973,260.973,261.84,261.669,262.344,264.396,264.397,262.835,263.786,263.63,263.63,264.547,262.672,261.497,262.835,262.177,263.316,263.315,268.748,272.803,277.689,285.276,286.853,285.46,285.878,286.965,289.153,292.654,293.647,291.709,292.073,292.962,293.393,288.318,287.514,288.585,288.742,286.09,291.833,290.343,288.636,290.778,289.036,289.248,290.295,292.918,287.884,285.096,286.168,284.114,281.373,278.183,274.297,271.422,265.135,262.835,261.84,261.838,264.093,264.246,262.508,260.973,260.973,260.973,259.317,259.883,259.883,261.497,261.149,261.148,262.509,260.973,260.069,261.148,260.435,259.507,259.508,260.795,261.149,260.253,260.616,259.883,259.317,260.068,262.176,263.316,263.156,262.177,263.157,262.672,262.997,269.579,280.573,286.512,288.897,286.435,273.898,264.092,261.839,260.973,261.497,261.324,261.497,262.009,268.37,278.902,284.428,284.429,285.283,287.568,290.443,289.401,289.503,293.601,296.69,295.745,295.739,296.28,295.783,296.011,293.771,294.394,294.875,290.716,284.238,289.184,294.295,288.366,291.508,286.965,288.527,290.441,291.201,292.478,290.24,287.184,287.514,291.62,290.96,291.969,295.095,296.502,292.677,281.299,276.4,273.413,278.825,283.008,287.683,297.06,296.106,285.073,270.981,270.415,270.3,267.218,268.728,277.041,280.502,282.547,287.679,290.345,291.056,295.316,296.722,299.614,297.529,298.06,296.727,294.171,287.062,284.918,284.491,285.163
83.19,261.84,261.149,261.84,261.149,260.795,260.796,260.253,260.07,260.253,260.795,260.796,261.84,261.669,261.84,263.316,264.397,264.844,264.094,263.631,263.157,261.324,262.343,262.177,262.672,263.63,263.786,262.835,265.425,270.067,274.388,279.293,285.277,287.843,287.017,285.759,288.531,291.434,291.936,291.528,293.134,294.065,293.563,285.682,284.366,286.047,287.734,289.255,291.756,291.295,291.298,287.286,291.887,291.621,287.787,289.449,285.095,281.796,281.44,281.933,285.403,283.535,278.505,272.384,265.991,262.508,261.324,262.672,263.473,262.672,261.669,261.148,258.535,259.317,259.508,259.124,260.253,260.795,260.435,261.497,262.009,259.696,260.068,260.616,260.253,260.069,260.973,260.796,260.616,260.435,260.069,260.253,260.253,261.669,262.835,263.157,263.157,262.009,262.997,262.672,263.157,268.74,279.748,287.573,288.003,283.124,270.296,263.94,262.508,261.149,261.669,261.323,259.317,261.669,267.991,278.019,282.549,284.366,286.456,287.076,286.334,286.679,291.664,295.306,298.475,296.087,293.731,295.395,294.434,292.161,291.482,294.353,295.111,291.79,285.809,291.482,292.475,289.403,292.96,294.139,294.997,294.222,290.293,292.643,285.464,285.281,290.247,292.96,291.749,296.392,298.2,297.811,292.947,285.282,284.571,272.273,281.918,290.537,294.788,299.419,297.299,288.194,275.601,276.32,274.863,272.901,280.542,288.63,282.208,281.089,286.396,288.271,290.196,293.816,295.696,299.211,294.921,294.84,293.559,289.034,283.406,286.567,286.11,286.568
